"date","close","volume","open","high","low"
"07.10.14","574.1000","1544014.0000","584.9000","585.8500","574.1000"
"06.10.14","587.7800","1285696.0000","589.9500","592.4000","585.4000"
"03.10.14","586.2500","1211716.0000","584.1000","588.2900","583.5000"
"02.10.14","580.8800","1541071.0000","578.0000","583.2400","574.0500"
"01.10.14","579.6300","1447666.0000","586.8000","588.7200","578.0200"
"30.09.14","588.4100","1571469.0000","587.4900","591.0000","584.5000"
"29.09.14","587.8100","1142659.0000","581.8300","589.3100","581.5700"
"26.09.14","587.9000","1288870.0000","585.9300","589.5739","585.0000"
"25.09.14","585.2500","1665860.0000","596.9900","598.0700","584.7400"
"24.09.14","598.4200","1757807.0000","591.5700","600.1100","590.3000"
"23.09.14","591.1800","1401711.0000","595.0000","596.6500","590.2400"
"22.09.14","597.2700","1782194.0000","602.5000","603.8000","593.1200"
"19.09.14","605.4000","4184064.0000","599.4900","605.4000","597.7600"
"18.09.14","597.2700","1493346.0000","595.0500","597.5600","593.0200"
"17.09.14","593.2900","1711642.0000","589.5100","596.0700","587.1200"
"16.09.14","588.7800","1578274.0000","580.9500","590.1500","580.9500"
"15.09.14","581.6400","1544649.0000","582.2400","583.9200","577.0100"
"12.09.14","584.9000","1848820.0000","590.3900","591.4800","583.2800"
"11.09.14","591.1100","1499553.0000","590.0000","591.9450","586.0400"
"10.09.14","593.4200","1156693.0000","591.7400","593.7200","587.1400"
"09.09.14","591.9700","1571006.0000","600.2700","600.6000","590.4800"
"08.09.14","601.6300","1598620.0000","599.1400","603.5200","598.0231"
"05.09.14","597.7800","1798013.0000","595.1300","598.5000","593.5500"
"04.09.14","593.1400","1630391.0000","592.1300","598.0000","590.6000"
"03.09.14","589.5200","1578792.0000","591.7300","594.4900","586.5000"
"02.09.14","588.6300","1581444.0000","582.9500","589.3000","582.4000"
"29.08.14","582.3600","1205814.0000","582.3500","582.8999","578.2400"
"28.08.14","580.3200","1405713.0000","580.0200","584.7100","577.8800"
"27.08.14","583.0000","1363287.0000","587.8100","589.3700","580.9000"
"26.08.14","588.1200","1470046.0000","592.0000","592.0500","587.4500"
"25.08.14","590.5700","1295469.0000","594.7700","595.5800","589.2600"
"22.08.14","592.5400","876231.0000","593.2700","594.9900","589.8000"
"21.08.14","592.4200","1131118.0000","594.9000","595.2500","591.1010"
"20.08.14","595.4100","967253.0000","596.9500","596.9900","593.0010"
"19.08.14","597.1100","1040746.0000","595.5900","597.8100","594.4400"
"18.08.14","592.7000","1464370.0000","587.1000","595.0500","586.5500"
"15.08.14","583.7100","1723366.0000","587.5000","589.4700","580.7600"
"14.08.14","584.6500","1272369.0000","586.6900","587.8000","580.9200"
"13.08.14","584.5600","1898211.0000","576.4500","586.1250","575.2000"
"12.08.14","572.1200","1390807.0000","575.0000","575.9000","569.9100"
"11.08.14","577.2500","1171290.0000","579.0000","579.6900","575.2980"
"08.08.14","577.9400","1493324.0000","572.0200","579.5639","569.0200"
"07.08.14","571.8100","1162124.0000","576.0500","578.3100","569.4300"
"06.08.14","574.4900","1322760.0000","569.5000","578.6440","567.4500"
"05.08.14","573.1400","1648328.0000","579.3800","580.2000","570.3100"
"04.08.14","582.2700","1516299.0000","576.5100","583.8200","572.2600"
"01.08.14","573.6000","2209772.0000","578.5550","583.4300","570.3000"
"31.07.14","579.5500","2307214.0000","588.9600","591.9899","577.6800"
"30.07.14","595.4400","1215052.0000","595.8100","598.4500","592.7000"
"29.07.14","593.9500","1364289.0000","597.7000","598.4900","592.1700"
"28.07.14","599.0200","1357713.0000","597.7500","601.0980","592.5900"
"25.07.14","598.0800","1359950.0000","599.2500","601.0000","595.7500"
"24.07.14","603.0100","1293149.0000","605.5300","608.9100","601.0000"
"23.07.14","605.1900","1105900.0000","602.0500","607.0500","601.3500"
"22.07.14","603.5700","1879176.0000","599.7000","608.8900","599.2576"
