"Rank","Country","Population","% of world population"
1,"China",1367160000,19
2,"India",1260600000,17.5
3,"United States",318867000,4.43
4,"Indonesia",252164800,3.51
5,"Brazil",203255000,2.83
6,"Pakistan",188020000,2.61
7,"Nigeria",178517000,2.48
8,"Bangladesh",157097000,2.18
9,"Russia",146149200,2.03
10,"Japan",127040000,1.77
11,"Mexico",119713203,1.66
12,"Philippines",100355900,1.4
13,"Vietnam",89708900,1.25
14,"Ethiopia",87952991,1.22
15,"Egypt",87275700,1.21
16,"Germany",80781000,1.12
17,"Iran",77797100,1.08
18,"Turkey",76667864,1.07
19,"Congo",69360000,0.96
20,"France",66019000,0.92
