"Year","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80+"
1950,171734,138041,133460,121751,112518,96508,83534,80619,73134,63151,52593,42486,34323,25031,16523,9254,5501
1955,208298,160615,134931,130256,117865,108894,93359,80241,76769,68336,58238,46670,35851,26787,17590,10070,6247
1960,222100,196428,157608,132072,126498,114960,105793,90400,76537,72396,63355,52176,39773,28316,19175,10958,7101
1965,245569,210766,192164,154333,128339,123332,112079,102655,86806,71864,66847,56895,44394,31462,20313,12022,7907
1970,266854,236261,208264,189326,150634,125585,120763,109441,99729,83454,67782,61570,50163,36870,23691,13275,9187
1975,276656,257361,233355,205310,186080,148812,123865,118426,106707,96169,79194,62688,54897,42129,28239,15872,10766
1980,279056,268266,254806,230777,202044,183079,146558,121159,115396,102812,91334,73571,56128,46641,32774,19397,13041
1985,303292,271535,265951,252569,227560,199151,180818,144004,118356,111475,97882,84990,66127,47880,36545,22649,16088
1990,331164,296228,269681,263956,249060,224014,196580,177822,141000,114829,106521,91612,76918,56879,37904,25799,19646
1995,322053,324455,294642,267253,259291,245021,221268,193544,174127,136562,109879,99753,83163,66274,45433,26948,23262
2000,312060,316349,322751,292233,263078,255137,241105,217030,188980,168766,130959,103205,90721,72134,53222,32785,25957
2005,317664,307644,315189,320352,287337,258580,250954,237272,212736,183086,162263,124088,94925,79496,59111,39247,32157
2010,332247,314034,306100,312127,315799,284498,255296,247354,232269,206972,176273,153817,113800,84053,65870,44383,40543
