"Year","Quarter","Windows Mobile","Symbian","iOS","Android","Bada","Windows Phone"
"2013","Q4",,,50224,219613,,8534
"2013","Q3",,458,30330,205023,633,8912
"2013","Q2",,631,31900,177898,838,7408
"2013","Q1",,1349,38332,156186,1371,5989
"2012","Q4",,2569,43457,144720,2684,6186
"2012","Q3",,4405,23550,122480,5055,4058
"2012","Q2",,9072,28935,98529,4209,4087
"2012","Q1",,12467,33121,81067,3842,2713
"2011","Q4",,17458,35456,75906,3111,2759
"2011","Q3",,19500,17295,60490,2479,1702
"2011","Q2",,23853,19629,46776,2056,1724
"2011","Q1",982,27599,16883,36350,1862,1600
"2010","Q4",3419,32642,16011,30801,2027,
"2010","Q3",2204,29480,13484,20544,921,
"2010","Q2",3059,25387,8743,10653,577,
"2010","Q1",3696,24068,8360,5227,,
"2009","Q4",4203,23857,8676,4043,,
"2009","Q3",3260,18315,7040,1425,,
"2009","Q2",3830,20881,5325,756,,
"2009","Q1",3739,17825,3848,575,,
"2008","Q4",4714,17949,4079,639,,
"2008","Q3",4053,18179,4720,,,
"2008","Q2",3874,18405,893,,,
"2008","Q1",3858,18400,1726,,,
"2007","Q4",4374,22903,1928,,,
"2007","Q3",4180,20664,1104,,,
"2007","Q2",3212,18273,270,,,
"2007","Q1",2931,15844,,,,
